instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,Recency,Frequency,Monetary,Cluster
1,2011-01-01,Spring,2011,1,0,6,0,Cloudy,0.344167,0.363625,0.805833,0.160446,331,654,985,730,1,985,1
2,2011-01-02,Spring,2011,1,0,0,0,Cloudy,0.363478,0.353739,0.696087,0.248539,131,670,801,729,2,801,1
3,2011-01-03,Spring,2011,1,0,1,1,Clear,0.196364,0.189405,0.437273,0.248309,120,1229,1349,728,3,1349,1
4,2011-01-04,Spring,2011,1,0,2,1,Clear,0.2,0.212122,0.590435,0.160296,108,1454,1562,727,4,1562,1
5,2011-01-05,Spring,2011,1,0,3,1,Clear,0.226957,0.22927,0.436957,0.1869,82,1518,1600,726,5,1600,1
6,2011-01-06,Spring,2011,1,0,4,1,Clear,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,725,6,1606,1
7,2011-01-07,Spring,2011,1,0,5,1,Cloudy,0.196522,0.208839,0.498696,0.168726,148,1362,1510,724,7,1510,1
8,2011-01-08,Spring,2011,1,0,6,0,Cloudy,0.165,0.162254,0.535833,0.266804,68,891,959,723,8,959,1
9,2011-01-09,Spring,2011,1,0,0,0,Clear,0.138333,0.116175,0.434167,0.36195,54,768,822,722,9,822,1
10,2011-01-10,Spring,2011,1,0,1,1,Clear,0.150833,0.150888,0.482917,0.223267,41,1280,1321,721,10,1321,1
11,2011-01-11,Spring,2011,1,0,2,1,Cloudy,0.169091,0.191464,0.686364,0.122132,43,1220,1263,720,11,1263,1
12,2011-01-12,Spring,2011,1,0,3,1,Clear,0.172727,0.160473,0.599545,0.304627,25,1137,1162,719,12,1162,1
13,2011-01-13,Spring,2011,1,0,4,1,Clear,0.165,0.150883,0.470417,0.301,38,1368,1406,718,13,1406,1
14,2011-01-14,Spring,2011,1,0,5,1,Clear,0.16087,0.188413,0.537826,0.126548,54,1367,1421,717,14,1421,1
15,2011-01-15,Spring,2011,1,0,6,0,Cloudy,0.233333,0.248112,0.49875,0.157963,222,1026,1248,716,15,1248,1
16,2011-01-16,Spring,2011,1,0,0,0,Clear,0.231667,0.234217,0.48375,0.188433,251,953,1204,715,16,1204,1
17,2011-01-17,Spring,2011,1,1,1,0,Cloudy,0.175833,0.176771,0.5375,0.194017,117,883,1000,714,17,1000,1
18,2011-01-18,Spring,2011,1,0,2,1,Cloudy,0.216667,0.232333,0.861667,0.146775,9,674,683,713,18,683,1
19,2011-01-19,Spring,2011,1,0,3,1,Cloudy,0.292174,0.298422,0.741739,0.208317,78,1572,1650,712,19,1650,1
20,2011-01-20,Spring,2011,1,0,4,1,Cloudy,0.261667,0.25505,0.538333,0.195904,83,1844,1927,711,20,1927,1
21,2011-01-21,Spring,2011,1,0,5,1,Clear,0.1775,0.157833,0.457083,0.353242,75,1468,1543,710,21,1543,1
22,2011-01-22,Spring,2011,1,0,6,0,Clear,0.0591304,0.0790696,0.4,0.17197,93,888,981,709,22,981,1
23,2011-01-23,Spring,2011,1,0,0,0,Clear,0.0965217,0.0988391,0.436522,0.2466,150,836,986,708,23,986,1
24,2011-01-24,Spring,2011,1,0,1,1,Clear,0.0973913,0.11793,0.491739,0.15833,86,1330,1416,707,24,1416,1
25,2011-01-25,Spring,2011,1,0,2,1,Cloudy,0.223478,0.234526,0.616957,0.129796,186,1799,1985,706,25,1985,1
26,2011-01-26,Spring,2011,1,0,3,1,Rain,0.2175,0.2036,0.8625,0.29385,34,472,506,705,26,506,1
27,2011-01-27,Spring,2011,1,0,4,1,Clear,0.195,0.2197,0.6875,0.113837,15,416,431,704,27,431,1
28,2011-01-28,Spring,2011,1,0,5,1,Cloudy,0.203478,0.223317,0.793043,0.1233,38,1129,1167,703,28,1167,1
29,2011-01-29,Spring,2011,1,0,6,0,Clear,0.196522,0.212126,0.651739,0.145365,123,975,1098,702,29,1098,1
30,2011-01-30,Spring,2011,1,0,0,0,Clear,0.216522,0.250322,0.722174,0.0739826,140,956,1096,701,30,1096,1
31,2011-01-31,Spring,2011,1,0,1,1,Cloudy,0.180833,0.18625,0.60375,0.187192,42,1459,1501,700,31,1501,1
32,2011-02-01,Spring,2011,2,0,2,1,Cloudy,0.192174,0.23453,0.829565,0.053213,47,1313,1360,699,32,1360,1
33,2011-02-02,Spring,2011,2,0,3,1,Cloudy,0.26,0.254417,0.775417,0.264308,72,1454,1526,698,33,1526,1
34,2011-02-03,Spring,2011,2,0,4,1,Clear,0.186957,0.177878,0.437826,0.277752,61,1489,1550,697,34,1550,1
35,2011-02-04,Spring,2011,2,0,5,1,Cloudy,0.211304,0.228587,0.585217,0.127839,88,1620,1708,696,35,1708,1
36,2011-02-05,Spring,2011,2,0,6,0,Cloudy,0.233333,0.243058,0.929167,0.161079,100,905,1005,695,36,1005,1
37,2011-02-06,Spring,2011,2,0,0,0,Clear,0.285833,0.291671,0.568333,0.1418,354,1269,1623,694,37,1623,1
38,2011-02-07,Spring,2011,2,0,1,1,Clear,0.271667,0.303658,0.738333,0.0454083,120,1592,1712,693,38,1712,1
39,2011-02-08,Spring,2011,2,0,2,1,Clear,0.220833,0.198246,0.537917,0.36195,64,1466,1530,692,39,1530,1
40,2011-02-09,Spring,2011,2,0,3,1,Cloudy,0.134783,0.144283,0.494783,0.188839,53,1552,1605,691,40,1605,1
41,2011-02-10,Spring,2011,2,0,4,1,Clear,0.144348,0.149548,0.437391,0.221935,47,1491,1538,690,41,1538,1
42,2011-02-11,Spring,2011,2,0,5,1,Clear,0.189091,0.213509,0.506364,0.10855,149,1597,1746,689,42,1746,1
43,2011-02-12,Spring,2011,2,0,6,0,Clear,0.2225,0.232954,0.544167,0.203367,288,1184,1472,688,43,1472,1
44,2011-02-13,Spring,2011,2,0,0,0,Clear,0.316522,0.324113,0.457391,0.260883,397,1192,1589,687,44,1589,1
45,2011-02-14,Spring,2011,2,0,1,1,Clear,0.415,0.39835,0.375833,0.417908,208,1705,1913,686,45,1913,1
46,2011-02-15,Spring,2011,2,0,2,1,Clear,0.266087,0.254274,0.314348,0.291374,140,1675,1815,685,46,1815,1
47,2011-02-16,Spring,2011,2,0,3,1,Clear,0.318261,0.3162,0.423478,0.251791,218,1897,2115,684,47,2115,1
